data,totale_positivi,nuovi_positivi,deceduti,terapia_intensiva,totale_ospedalizzati,tamponi
2020-01-22,547.0,,,,,
2020-01-23,639.0,92.0,1.0,,,
2020-01-24,916.0,277.0,8.0,,,
2020-01-25,1399.0,483.0,16.0,,,
2020-01-26,2062.0,663.0,14.0,,,
2020-01-27,2863.0,801.0,26.0,,,
2020-01-28,5494.0,2631.0,49.0,,,
2020-01-29,6070.0,576.0,2.0,,,
2020-01-30,8124.0,2054.0,38.0,,,
2020-01-31,9783.0,1659.0,42.0,,,
2020-02-01,11871.0,2088.0,46.0,,,
2020-02-02,16607.0,4736.0,102.0,,,
2020-02-03,19693.0,3086.0,64.0,,,
2020-02-04,23680.0,3987.0,65.0,,,
2020-02-05,27409.0,3729.0,72.0,,,
2020-02-06,30553.0,3144.0,70.0,,,
2020-02-07,34075.0,3522.0,85.0,,,
2020-02-08,36778.0,2703.0,87.0,,,
2020-02-09,39790.0,3012.0,100.0,,,
2020-02-10,42306.0,2516.0,107.0,,,
2020-02-11,44327.0,2021.0,100.0,,,
2020-02-12,44699.0,372.0,5.0,,,
2020-02-13,59832.0,15133.0,252.0,,,
2020-02-14,66292.0,6460.0,152.0,,,
2020-02-15,68347.0,2055.0,142.0,,,
2020-02-16,70446.0,2099.0,103.0,,,
2020-02-17,72364.0,1918.0,98.0,,,
2020-02-18,74139.0,1775.0,139.0,,,
2020-02-19,74546.0,407.0,112.0,,,
2020-02-20,74999.0,453.0,122.0,,,
2020-02-21,75472.0,473.0,0.0,,,
2020-02-22,76922.0,1450.0,205.0,,,
2020-02-23,76938.0,16.0,2.0,,,
2020-02-24,77152.0,214.0,150.0,,,
2020-02-25,77660.0,508.0,70.0,,,
2020-02-26,78065.0,405.0,52.0,,,
2020-02-27,78498.0,433.0,29.0,,,
2020-02-28,78824.0,326.0,44.0,,,
2020-02-29,79251.0,427.0,47.0,,,
2020-03-01,79826.0,575.0,35.0,,,
2020-03-02,80026.0,200.0,42.0,,,
2020-03-03,80151.0,125.0,33.0,,,
2020-03-04,80271.0,120.0,36.0,,,
2020-03-05,80422.0,151.0,32.0,,,
2020-03-06,80573.0,151.0,29.0,,,
2020-03-07,80652.0,79.0,28.0,,,
2020-03-08,80699.0,47.0,27.0,,,
2020-03-09,80735.0,36.0,23.0,,,
2020-03-10,80757.0,22.0,16.0,,,
2020-03-11,80785.0,28.0,22.0,,,
2020-03-12,80793.0,8.0,11.0,,,
2020-03-13,80801.0,8.0,7.0,,,
2020-03-14,80827.0,26.0,13.0,,,
2020-03-15,80848.0,21.0,10.0,,,
2020-03-16,80867.0,19.0,14.0,,,
2020-03-17,80884.0,17.0,13.0,,,
2020-03-18,80906.0,22.0,11.0,,,
2020-03-19,80931.0,25.0,8.0,,,
2020-03-20,80977.0,46.0,4.0,,,
2020-03-21,81014.0,37.0,6.0,,,
2020-03-22,81094.0,80.0,15.0,,,
2020-03-23,81118.0,24.0,0.0,,,
2020-03-24,81180.0,62.0,7.0,,,
2020-03-25,81221.0,41.0,4.0,,,
2020-03-26,81298.0,77.0,6.0,,,
2020-03-27,81345.0,47.0,5.0,,,
2020-03-28,81401.0,56.0,3.0,,,
2020-03-29,81444.0,43.0,5.0,,,
2020-03-30,81478.0,34.0,4.0,,,
2020-03-31,81524.0,46.0,1.0,,,
2020-04-01,81555.0,31.0,7.0,,,
2020-04-02,81589.0,34.0,6.0,,,
2020-04-03,81623.0,34.0,4.0,,,
2020-04-04,81638.0,15.0,4.0,,,
2020-04-05,81668.0,30.0,3.0,,,
2020-04-06,81707.0,39.0,2.0,,,
2020-04-07,81739.0,32.0,0.0,,,
2020-04-08,81804.0,65.0,2.0,,,
2020-04-09,81865.0,61.0,2.0,,,
2020-04-10,81907.0,42.0,1.0,,,
2020-04-11,81969.0,62.0,3.0,,,
2020-04-12,82085.0,116.0,0.0,,,
2020-04-13,82159.0,74.0,2.0,,,
2020-04-14,82249.0,90.0,0.0,,,
2020-04-15,82294.0,45.0,1.0,,,
2020-04-16,82341.0,47.0,0.0,,,
2020-04-17,82694.0,353.0,1290.0,,,
2020-04-18,82718.0,24.0,0.0,,,
2020-04-19,82735.0,17.0,0.0,,,
2020-04-20,82747.0,12.0,0.0,,,
2020-04-21,82779.0,32.0,0.0,,,
2020-04-22,82790.0,11.0,0.0,,,
2020-04-23,82804.0,14.0,0.0,,,
2020-04-24,82819.0,15.0,0.0,,,
2020-04-25,82827.0,8.0,0.0,,,
2020-04-26,82830.0,3.0,1.0,,,
2020-04-27,82836.0,6.0,0.0,,,
2020-04-28,82858.0,22.0,0.0,,,
2020-04-29,82862.0,4.0,0.0,,,
2020-04-30,82874.0,12.0,0.0,,,
2020-05-01,82875.0,1.0,0.0,,,
2020-05-02,82875.0,0.0,0.0,,,
2020-05-03,82880.0,5.0,0.0,,,
2020-05-04,82881.0,1.0,0.0,,,
2020-05-05,82883.0,2.0,0.0,,,
2020-05-06,82885.0,2.0,0.0,,,
2020-05-07,82886.0,1.0,0.0,,,
2020-05-08,82887.0,1.0,0.0,,,
2020-05-09,82901.0,14.0,0.0,,,
2020-05-10,82918.0,17.0,0.0,,,
2020-05-11,82919.0,1.0,0.0,,,
2020-05-12,82926.0,7.0,0.0,,,
2020-05-13,82929.0,3.0,0.0,,,
2020-05-14,82933.0,4.0,0.0,,,
2020-05-15,82941.0,8.0,0.0,,,
2020-05-16,82947.0,6.0,1.0,,,
2020-05-17,82954.0,7.0,0.0,,,
2020-05-18,82963.0,9.0,0.0,,,
2020-05-19,82963.0,0.0,0.0,,,
2020-05-20,82963.0,0.0,0.0,,,
2020-05-21,82963.0,0.0,0.0,,,
2020-05-22,82971.0,8.0,0.0,,,
2020-05-23,82974.0,3.0,0.0,,,
2020-05-24,82985.0,11.0,0.0,,,
2020-05-25,82992.0,7.0,0.0,,,
2020-05-26,82993.0,1.0,0.0,,,
2020-05-27,82995.0,2.0,0.0,,,
2020-05-28,82995.0,0.0,0.0,,,
2020-05-29,82999.0,4.0,0.0,,,
2020-05-30,83001.0,2.0,0.0,,,
2020-05-31,83017.0,16.0,0.0,,,
2020-06-01,83022.0,5.0,0.0,,,
2020-06-02,83023.0,1.0,0.0,,,
2020-06-03,83022.0,-1.0,0.0,,,
2020-06-04,83027.0,5.0,0.0,,,
2020-06-05,83030.0,3.0,0.0,,,
2020-06-06,83036.0,6.0,0.0,,,
2020-06-07,83040.0,4.0,0.0,,,
2020-06-08,83043.0,3.0,0.0,,,
2020-06-09,83046.0,3.0,0.0,,,
2020-06-10,83057.0,11.0,0.0,,,
2020-06-11,83064.0,7.0,0.0,,,
2020-06-12,83075.0,11.0,0.0,,,
2020-06-13,83132.0,57.0,0.0,,,
2020-06-14,83181.0,49.0,0.0,,,
2020-06-15,83221.0,40.0,0.0,,,
2020-06-16,83265.0,44.0,0.0,,,
2020-06-17,83293.0,28.0,0.0,,,
2020-06-18,83325.0,32.0,0.0,,,
2020-06-19,83325.0,0.0,0.0,,,
2020-06-20,83380.0,55.0,0.0,,,
2020-06-21,83396.0,16.0,0.0,,,
2020-06-22,83418.0,22.0,0.0,,,
2020-06-23,83431.0,13.0,0.0,,,
2020-06-24,83449.0,18.0,0.0,,,
2020-06-25,83462.0,13.0,0.0,,,
2020-06-26,83483.0,21.0,0.0,,,
2020-06-27,83500.0,17.0,0.0,,,
2020-06-28,83512.0,12.0,0.0,,,
2020-06-29,83531.0,19.0,0.0,,,
2020-06-30,83534.0,3.0,0.0,,,
2020-07-01,83537.0,3.0,0.0,,,
2020-07-02,83542.0,5.0,0.0,,,
2020-07-03,83545.0,3.0,0.0,,,
2020-07-04,83553.0,8.0,0.0,,,
2020-07-05,83557.0,4.0,0.0,,,
2020-07-06,83558.0,1.0,0.0,,,
2020-07-07,83572.0,14.0,0.0,,,
2020-07-08,83581.0,9.0,0.0,,,
2020-07-09,83581.0,0.0,0.0,,,
2020-07-10,83581.0,0.0,0.0,,,
2020-07-11,83594.0,13.0,0.0,,,
2020-07-12,83602.0,8.0,0.0,,,
2020-07-13,83602.0,0.0,0.0,,,
2020-07-14,83611.0,9.0,0.0,,,
2020-07-15,83612.0,1.0,0.0,,,
2020-07-16,83626.0,14.0,0.0,,,
2020-07-17,83643.0,17.0,0.0,,,
2020-07-18,83659.0,16.0,0.0,,,
2020-07-19,83680.0,21.0,0.0,,,
2020-07-20,83691.0,11.0,0.0,,,
2020-07-21,83704.0,13.0,0.0,,,
2020-07-22,83729.0,25.0,0.0,,,
2020-07-23,83750.0,21.0,0.0,,,
2020-07-24,83784.0,34.0,0.0,,,
2020-07-25,83830.0,46.0,0.0,,,
2020-07-26,83891.0,61.0,0.0,,,
2020-07-27,83959.0,68.0,0.0,,,
2020-07-28,84060.0,101.0,0.0,,,
2020-07-29,84165.0,105.0,0.0,,,
2020-07-30,84292.0,127.0,0.0,,,
2020-07-31,84337.0,45.0,0.0,,,
2020-08-01,84385.0,48.0,0.0,,,
2020-08-02,84428.0,43.0,0.0,,,
2020-08-03,84464.0,36.0,0.0,,,
2020-08-04,84491.0,27.0,0.0,,,
2020-08-05,84528.0,37.0,0.0,,,
2020-08-06,84565.0,37.0,0.0,,,
2020-08-07,84596.0,31.0,0.0,,,
2020-08-08,84619.0,23.0,0.0,,,
2020-08-09,84668.0,49.0,0.0,,,
2020-08-10,84712.0,44.0,0.0,,,
2020-08-11,84731.0,19.0,0.0,,,
2020-08-12,84756.0,25.0,0.0,,,
2020-08-13,84786.0,30.0,0.0,,,
2020-08-14,84808.0,22.0,0.0,,,
2020-08-15,84827.0,19.0,0.0,,,
2020-08-16,84849.0,22.0,0.0,,,
2020-08-17,84871.0,22.0,0.0,,,
2020-08-18,84888.0,17.0,0.0,,,
2020-08-19,84895.0,7.0,0.0,,,
2020-08-20,84917.0,22.0,0.0,,,
2020-08-21,84939.0,22.0,0.0,,,
2020-08-22,84951.0,12.0,0.0,,,
2020-08-23,84967.0,16.0,0.0,,,
2020-08-24,84981.0,14.0,0.0,,,
2020-08-25,84996.0,15.0,0.0,,,
2020-08-26,85004.0,8.0,0.0,,,
2020-08-27,85013.0,9.0,0.0,,,
2020-08-28,85022.0,9.0,0.0,,,
2020-08-29,85031.0,9.0,0.0,,,
2020-08-30,85048.0,17.0,0.0,,,
2020-08-31,85058.0,10.0,0.0,,,
2020-09-01,85065.0,7.0,0.0,,,
2020-09-02,85077.0,12.0,0.0,,,
2020-09-03,85102.0,25.0,0.0,,,
2020-09-04,85112.0,10.0,0.0,,,
2020-09-05,85122.0,10.0,0.0,,,
2020-09-06,85134.0,12.0,0.0,,,
2020-09-07,85143.0,9.0,0.0,,,
2020-09-08,85146.0,3.0,0.0,,,
2020-09-09,85153.0,7.0,0.0,,,
2020-09-10,85168.0,15.0,0.0,,,
2020-09-11,85174.0,6.0,0.0,,,
2020-09-12,85184.0,10.0,0.0,,,
2020-09-13,85194.0,10.0,0.0,,,
2020-09-14,85202.0,8.0,0.0,,,
2020-09-15,85214.0,12.0,0.0,,,
2020-09-16,85223.0,9.0,0.0,,,
2020-09-17,85255.0,32.0,0.0,,,
2020-09-18,85269.0,14.0,0.0,,,
2020-09-19,85279.0,10.0,0.0,,,
2020-09-20,85291.0,12.0,0.0,,,
2020-09-21,85297.0,6.0,0.0,,,
2020-09-22,85307.0,10.0,0.0,,,
2020-09-23,85314.0,7.0,0.0,,,
2020-09-24,85322.0,8.0,0.0,,,
2020-09-25,85337.0,15.0,0.0,,,
2020-09-26,85351.0,14.0,0.0,,,
2020-09-27,85372.0,21.0,0.0,,,
2020-09-28,85384.0,12.0,0.0,,,
2020-09-29,85403.0,19.0,0.0,,,
2020-09-30,85412.0,9.0,0.0,,,
2020-10-01,85424.0,12.0,0.0,,,
2020-10-02,85434.0,10.0,0.0,,,
2020-10-03,85450.0,16.0,0.0,,,
2020-10-04,85470.0,20.0,0.0,,,
2020-10-05,85482.0,12.0,0.0,,,
2020-10-06,85489.0,7.0,0.0,,,
2020-10-07,85498.0,9.0,0.0,,,
2020-10-08,85521.0,23.0,0.0,,,
2020-10-09,85536.0,15.0,0.0,,,
2020-10-10,85557.0,21.0,0.0,,,
2020-10-11,85584.0,27.0,0.0,,,
2020-10-12,85591.0,7.0,0.0,,,
2020-10-13,85611.0,20.0,0.0,,,
2020-10-14,85622.0,11.0,0.0,,,
2020-10-15,85646.0,24.0,0.0,,,
2020-10-16,85659.0,13.0,0.0,,,
2020-10-17,85672.0,13.0,0.0,,,
2020-10-18,85685.0,13.0,0.0,,,
2020-10-19,85704.0,19.0,0.0,,,
2020-10-20,85715.0,11.0,0.0,,,
2020-10-21,85729.0,14.0,0.0,,,
2020-10-22,85747.0,18.0,0.0,,,
2020-10-23,85778.0,31.0,0.0,,,
2020-10-24,85793.0,15.0,0.0,,,
2020-10-25,85810.0,17.0,0.0,,,
2020-10-26,85826.0,16.0,0.0,,,
2020-10-27,85868.0,42.0,0.0,,,
2020-10-28,85915.0,47.0,0.0,,,
2020-10-29,85940.0,25.0,0.0,,,
2020-10-30,85973.0,33.0,0.0,,,
2020-10-31,85997.0,24.0,0.0,,,
2020-11-01,86021.0,24.0,0.0,,,
2020-11-02,86070.0,49.0,0.0,,,
2020-11-03,86087.0,17.0,0.0,,,
2020-11-04,86115.0,28.0,0.0,,,
2020-11-05,86151.0,36.0,0.0,,,
2020-11-06,86184.0,33.0,0.0,,,
2020-11-07,86212.0,28.0,0.0,,,
2020-11-08,86245.0,33.0,0.0,,,
2020-11-09,86267.0,22.0,0.0,,,
2020-11-10,86284.0,17.0,0.0,,,
2020-11-11,86299.0,15.0,0.0,,,
2020-11-12,86307.0,8.0,0.0,,,
2020-11-13,86325.0,18.0,0.0,,,
2020-11-14,86338.0,13.0,0.0,,,
2020-11-15,86346.0,8.0,0.0,,,
2020-11-16,86360.0,14.0,0.0,,,
2020-11-17,86369.0,9.0,0.0,,,
2020-11-18,86381.0,12.0,0.0,,,
2020-11-19,86398.0,17.0,0.0,,,
2020-11-20,86414.0,16.0,0.0,,,
2020-11-21,86431.0,17.0,0.0,,,
2020-11-22,86442.0,11.0,0.0,,,
2020-11-23,86464.0,22.0,0.0,,,
2020-11-24,86469.0,5.0,0.0,,,
2020-11-25,86490.0,21.0,0.0,,,
2020-11-26,86495.0,5.0,0.0,,,
2020-11-27,86501.0,6.0,0.0,,,
2020-11-28,86512.0,11.0,0.0,,,
2020-11-29,86530.0,18.0,0.0,,,
2020-11-30,86542.0,12.0,0.0,,,
2020-12-01,86551.0,9.0,0.0,,,
2020-12-02,86568.0,17.0,0.0,,,
2020-12-03,86586.0,18.0,0.0,,,
2020-12-04,86601.0,15.0,0.0,,,
2020-12-05,86619.0,18.0,0.0,,,
2020-12-06,86634.0,15.0,0.0,,,
2020-12-07,86649.0,15.0,0.0,,,
2020-12-08,86661.0,12.0,0.0,,,
2020-12-09,86673.0,12.0,0.0,,,
2020-12-10,86688.0,15.0,0.0,,,
2020-12-11,86701.0,13.0,0.0,,,
2020-12-12,86725.0,24.0,0.0,,,
2020-12-13,86741.0,16.0,0.0,,,
2020-12-14,86758.0,17.0,0.0,,,
2020-12-15,86770.0,12.0,0.0,,,
2020-12-16,86777.0,7.0,0.0,,,
2020-12-17,86789.0,12.0,0.0,,,
2020-12-18,86806.0,17.0,0.0,,,
2020-12-19,86829.0,23.0,0.0,,,
2020-12-20,86852.0,23.0,0.0,,,
2020-12-21,86867.0,15.0,0.0,,,
2020-12-22,86882.0,15.0,0.0,,,
2020-12-23,86899.0,17.0,0.0,,,
2020-12-24,86913.0,14.0,0.0,,,
2020-12-25,86933.0,20.0,0.0,,,
2020-12-26,86955.0,22.0,0.0,,,
2020-12-27,86976.0,21.0,0.0,,,
2020-12-28,87003.0,27.0,0.0,,,
2020-12-29,87027.0,24.0,0.0,,,
2020-12-30,87052.0,25.0,0.0,,,
2020-12-31,87071.0,19.0,0.0,,,
2021-01-01,87089.0,18.0,0.0,,,
2021-01-02,87117.0,28.0,0.0,,,
2021-01-03,87150.0,33.0,0.0,,,
2021-01-04,87183.0,33.0,0.0,,,
2021-01-05,87215.0,32.0,0.0,,,
